sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Albanian:Central1,0.1161,0.144205,0.010182,-0.029716,0.032929,-0.013666,-0.001175,0.003923,0.002045,0.02041,0.00682,0.008093,-0.006987,0.003716,-0.023615,-0.003182,0.005737,0.003041,0.009553,-0.008879,-0.006738,0.006801,0.001232,0.009881,-0.00467
Albanian:East1,0.118376,0.146236,0.016593,-0.021964,0.023697,-0.01004,0.001645,-0.000462,0.002659,0.021686,0.001137,0.002997,-0.008325,0.013762,-0.021308,-0.002652,0.018254,0.002027,0.01345,-0.007128,-0.012104,-0.001731,0.002342,-0.001205,-0.00479
Albanian:EastKosovo1,0.125205,0.138112,0.007165,-0.014535,0.028005,-0.003904,0.003525,0.006461,0.000205,0.017312,-0.006983,0.007493,-0.003568,-0.001239,-0.02823,0.014452,0.027902,-0.004054,-0.001634,0.002001,-0.00287,0.003586,-0.002218,0.002892,-0.006107
Albanian:EastKosovo2,0.130897,0.148267,0.015085,-0.019703,0.018773,-0.012271,-0.00047,-0.002538,0.000205,0.023691,0,0.006294,-0.00446,0.005092,-0.020765,-0.002917,0.006258,-0.000633,0.010307,-0.005127,-0.013601,0.004204,0.003451,0.007471,-0.001796
Albanian:Montenegro1,0.126344,0.141159,0.022627,-0.008721,0.023389,0.003347,0.002115,0.003231,0.007772,0.018588,-0.004222,0.001049,-0.007433,0.012524,-0.016286,-0.001591,0.009127,0.002534,0.008547,-0.007128,-0.013476,0.000618,0.005916,-0.001687,-0.003473
Albanian:North1,0.126344,0.14319,0.017725,-0.01938,0.022158,-0.006136,0.003055,0.000923,-0.002045,0.013303,0.000812,0.000749,-0.008474,0.013487,-0.015472,0.000796,0.007953,-0.002407,0.00817,-0.010505,-0.011729,0.000247,0.001109,0.002048,-0.007664
Albanian:North2,0.122929,0.150298,0.021873,-0.01938,0.035083,-0.006972,0.00376,0.004384,0.003886,0.019864,-0.003573,0.009292,-0.003717,0.007707,-0.020358,-0.012463,0.00691,0.002787,0.005154,-0.005253,-0.004118,0.002473,0.000123,-0.000361,0.000958
Albanian:North3,0.12862,0.141159,0.018479,-0.017119,0.028313,-0.01506,0.000235,0.001846,0.004909,0.022051,0.000487,-0.001349,-0.005352,0.008945,-0.018594,-0.000265,0.01017,0.006841,0.004148,-0.009505,-0.012728,0.000742,-0.003821,0.002651,-0.002515
Albanian:NorthCentral1,0.122929,0.146236,0.021119,-0.017442,0.022158,-0.011156,0.000235,-0.004846,-0.005318,0.019317,-0.006983,0.001199,-0.013231,-0.004266,-0.021308,-0.004375,0.01369,0.002534,0.003897,-0.010005,-0.010357,-0.002844,0.012448,0.006627,-0.005508
Albanian:NorthEast1,0.120652,0.147252,0.017725,-0.017442,0.02462,-0.003626,0.00799,0.003692,-0.003477,0.016219,0.000162,0.004646,-0.009217,0.00812,-0.017508,-0.003182,0.013038,-0.0019,0.007039,-0.008754,-0.009234,0.001113,0.000616,0.009278,-0.00491
Albanian:NorthMacedonia1,0.124067,0.145221,0.018856,-0.011628,0.020619,-0.008367,0.0047,-0.002077,-0.000614,0.018224,-0.000325,0.013188,-0.002825,0.00055,-0.021851,0.002784,0.031292,-0.004434,0.012193,-0.005753,-0.010606,-0.001237,0.002835,0.003133,-0.006586
Albanian:NorthMacedonia2,0.118376,0.135065,0.023381,-0.01615,0.032314,-0.011992,0,0.000231,0.00225,0.012757,0.001461,0.001049,-0.004311,0.003578,-0.016558,0.010077,0.022035,-0.004561,0.002514,-0.00025,-0.002371,0.002226,0.008627,0.002289,-0.000838
Albanian:NorthWest1,0.12862,0.142174,0.023004,-0.02261,0.024004,-0.008088,0.001175,-0.000462,0.009613,0.025513,-0.002761,0.012739,-0.012487,0.010322,-0.027687,0.000265,0.012647,0.003547,0.013827,-0.018759,-0.013476,0.001237,0.006162,0.008917,-0.002874
Albanian:NorthWest2,0.132035,0.146236,0.013953,-0.013243,0.022158,-0.006136,0.004935,-0.000692,0.003681,0.019499,0.001137,0.003147,-0.003419,0.003716,-0.011129,0.010209,0.023991,0.00076,0.007919,-0.003752,-0.009982,0.000495,0.006655,0.006025,-0.003832
Albanian:SouthWest1,0.125205,0.148267,0.012068,-0.029716,0.022773,-0.010877,0.00188,0.005538,0.005522,0.022233,0.000974,0.002398,-0.002676,0.003578,-0.025787,-0.009149,0.013951,0.001394,0.002514,-0.010755,-0.010232,0.001607,0.003328,0.010122,-0.008023
Albanian:SouthWest2,0.119514,0.137096,0.018856,-0.016473,0.022158,-0.004462,-0.001175,-0.002308,0.002454,0.026606,-0.00682,0.005095,-0.002973,0.007432,-0.020087,0.001724,0.022556,0.000253,0.005908,-0.001626,-0.015722,-0.00136,0.003697,0.005543,-0.008143
